,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
mataura,-46.19,46.0,97,100,1.01
avarua,-21.21,66.2,93,100,3.36
kavaratti,10.57,83.03,77,80,10.58
srivardhan,18.03,80.51,88,74,8.16
albany,42.65,79.43,48,75,6.93
barcelos,-0.97,89.33,53,36,5.35
punta arenas,-53.16,41.0,93,75,10.29
cape town,-33.93,56.44,93,0,3.36
mahibadhoo,3.78,83.75,75,58,7.43
deputatskiy,69.3,48.29,93,100,2.77
vaini,15.34,77.45,89,69,2.08
mahebourg,-20.41,69.44,56,75,8.05
tiksi,71.64,48.47,62,96,9.35
college,64.86,60.53,93,75,3.36
port alfred,-33.59,57.99,89,0,1.99
kruisfontein,-34.0,51.17,91,0,2.28
arraial do cabo,-22.97,77.65,50,0,6.93
iqaluit,63.75,55.18,71,75,5.82
saldanha,41.42,72.95,58,28,18.81
hobart,-42.88,42.39,95,20,11.41
bluff,-23.58,51.71,66,59,8.63
salalah,17.01,80.6,94,90,8.05
westport,41.14,82.04,54,40,12.75
merrill,42.03,72.59,63,12,1.01
harrison,39.26,86.11,35,1,5.82
jamestown,-33.21,39.29,91,0,2.24
palmer,-34.85,49.23,66,75,13.87
tarnogskiy gorodok,60.5,52.79,76,53,3.53
uda,34.53,70.07,94,90,9.17
kenai,60.55,58.84,77,40,2.44
juruti,-2.16,90.59,47,88,5.23
ushuaia,-54.81,43.56,56,75,8.05
ancud,-41.87,48.2,87,40,16.11
barrow,-38.31,57.11,39,0,3.78
touros,-5.2,84.2,66,40,11.41
atuona,-9.8,80.87,73,7,17.29
katherine,-14.47,59.0,57,76,6.93
butaritari,3.07,83.93,63,92,8.52
hermanus,-34.42,56.55,92,0,1.99
rikitea,-23.12,74.57,84,22,12.3
port blair,11.67,83.21,78,100,14.5
luganville,-15.51,70.97,97,87,1.99
challapata,-18.9,47.93,30,0,4.27
tasiilaq,65.61,42.8,81,20,11.41
dunedin,-45.87,50.0,78,100,1.99
cidreira,-30.17,62.33,87,93,10.04
kita,35.76,71.69,100,20,4.7
upata,8.02,82.99,80,7,3.0
te anau,-45.41,40.73,94,100,6.87
kapaa,22.08,77.41,78,20,16.11
fortuna,40.6,62.38,93,90,3.36
mumford,5.26,74.39,84,30,7.56
castro,-42.48,48.2,87,40,16.11
ribeira grande,38.52,71.6,94,75,11.41
hilo,19.71,71.58,60,1,8.05
ilulissat,69.22,51.8,62,40,6.93
vila velha,-3.71,82.81,69,40,17.22
norman wells,65.28,59.0,54,40,4.7
baglung,28.27,57.47,96,100,1.63
mar del plata,-46.43,50.81,47,83,17.09
naliya,23.26,84.11,79,79,24.58
kondinskoye,59.65,75.29,64,40,12.1
trelew,-43.25,55.31,40,100,15.9
gbarnga,7.0,72.59,96,100,4.23
chokurdakh,70.62,46.49,66,83,6.26
delano,35.77,86.56,35,1,3.36
cherskiy,68.75,42.71,79,36,17.38
port lincoln,-34.72,55.49,75,82,19.48
taitung,22.76,63.95,75,66,6.76
upernavik,72.79,45.95,76,93,9.73
najran,17.54,95.0,13,94,9.17
bredasdorp,-34.53,54.39,93,5,1.12
morant bay,17.88,87.8,58,20,27.51
hithadhoo,-0.6,84.47,76,20,12.01
rovaniemi,66.5,51.8,66,75,8.05
nautla,20.22,86.27,65,93,10.58
busselton,-33.64,41.72,67,0,17.63
georgetown,6.8,87.98,74,40,13.87
bethel,60.79,56.75,93,75,4.7
finschhafen,-6.6,64.13,92,100,3.56
hamilton,43.26,83.37,61,20,18.34
sarangani,5.4,78.35,85,100,13.56
sao filipe,14.9,73.67,83,68,19.44
roald,62.58,54.14,76,75,9.17
yellowknife,62.45,59.0,47,20,4.7
khasan,42.43,60.17,96,94,2.55
port elizabeth,39.31,84.31,58,20,8.05
koundara,12.49,86.09,69,93,2.15
belmonte,40.36,77.77,63,62,5.99
puerto ayora,-0.74,75.47,65,75,13.87
brae,60.4,55.4,71,43,9.17
alofi,-19.06,69.8,94,69,14.99
jasper,33.83,85.84,59,40,10.89
magadan,59.56,53.87,75,0,2.68
geraldton,49.72,69.8,49,40,16.11
birao,10.3,78.35,72,61,7.27
isangel,-19.55,74.21,77,61,6.89
hay river,60.82,62.6,55,40,8.05
baturaja,-4.12,70.97,95,11,2.75
ahipara,-35.17,61.97,84,100,35.66
calabar,4.98,75.47,90,66,4.83
vallenar,-28.58,68.63,28,99,8.21
yulara,-25.24,44.6,70,0,6.93
berdigestyakh,62.1,65.75,70,58,2.98
san patricio,-26.98,72.95,70,99,2.37
laje,-13.18,79.97,56,51,8.57
abu kamal,34.45,87.53,21,0,9.64
pangody,65.85,55.31,68,63,7.45
iskateley,67.68,60.17,81,67,6.02
kachiry,53.07,65.57,69,0,8.99
ca mau,9.18,79.43,87,5,4.12
namatanai,-3.66,78.35,83,35,9.6
vung tau,10.35,79.43,87,23,11.21
sur,22.57,78.89,79,12,20.65
new norfolk,-42.78,42.37,95,20,11.41
esperance,-33.86,46.4,87,70,5.82
iwanai,42.97,60.71,98,100,5.19
joshimath,30.57,55.85,92,90,0.45
tessalit,20.2,102.83,16,38,15.77
dingzhou,38.51,78.8,69,0,6.71
san andres,13.32,75.83,91,99,3.58
khandyga,62.65,60.89,81,25,6.44
necochea,-38.55,51.01,85,15,4.0
sobolevo,54.43,53.15,78,50,1.48
saint george,39.45,80.6,57,40,13.87
shingu,33.72,70.61,99,100,10.65
teeli,51.01,50.63,72,49,3.78
kunya,12.22,87.8,58,20,3.36
bathsheba,13.22,85.78,62,75,23.04
east london,-33.02,59.0,87,0,8.05
saint-philippe,45.36,80.01,69,1,13.87
margate,-43.03,42.37,95,20,11.41
verkhoyansk,67.55,57.83,76,57,4.34
khatanga,71.98,49.91,70,12,6.15
husavik,50.56,78.06,47,0,3.0
kavieng,-2.57,82.31,78,86,11.45
soure,40.06,76.06,64,0,12.75
sonqor,34.78,86.0,12,0,13.87
emerald,-23.53,52.43,62,56,10.29
comodoro rivadavia,-45.87,53.6,54,0,13.87
ostrovnoy,68.05,44.69,75,51,6.64
leningradskiy,69.38,40.19,95,87,10.49
hami,42.84,80.15,30,32,19.19
chama,-11.22,64.31,54,0,6.76
chunhuhub,19.59,94.01,41,100,6.89
waziers,50.38,67.23,60,75,13.87
sorong,-0.86,73.31,86,100,8.61
tuktoyaktuk,69.44,53.6,66,75,4.7
bama,24.14,71.87,97,100,1.39
kaitangata,-46.28,48.99,81,100,1.99
lamar,38.09,91.4,31,1,6.93
gravdal,59.79,58.01,76,40,23.04
bekhtery,46.25,75.2,47,40,13.42
otukpo,7.19,77.63,82,28,3.36
jacareacanga,-6.22,92.75,37,41,5.03
nanortalik,60.14,45.59,78,8,8.77
tupik,54.43,53.69,96,100,3.33
merauke,-8.49,76.73,79,50,20.67
vardo,39.62,84.27,51,1,8.05
irpa irpa,-17.72,75.2,11,0,4.7
sangar,63.92,65.93,63,20,3.91
rio gallegos,-51.62,42.8,87,75,4.7
maryville,35.76,85.24,66,75,4.7
wattegama,7.35,73.49,93,91,3.51
nara,34.68,70.05,94,90,10.29
buchanan,5.88,78.8,83,75,8.05
lakes entrance,-37.88,39.51,81,16,13.29
parnu-jaagupi,58.61,62.49,54,7,8.99
sibolga,1.74,82.49,74,1,5.75
bilibino,68.06,61.25,65,10,1.07
victoria,5.28,77.0,88,75,3.36
lubango,-14.92,63.23,78,0,2.53
dikson,73.51,31.91,94,45,3.89
severo-kurilsk,50.68,44.51,93,67,11.61
kiruna,67.86,66.2,34,67,5.82
baijiantan,45.63,77.45,25,8,7.54
mackay,53.65,68.0,56,20,4.7
victor harbor,-35.55,49.78,66,75,13.87
pevek,69.7,37.13,97,67,7.65
zhuanghe,39.7,77.0,61,6,1.99
coruripe,-10.12,76.73,83,17,10.42
vestmannaeyjar,63.44,53.6,100,90,9.17
chuy,-33.69,55.67,78,47,10.25
ahuimanu,21.44,77.94,94,75,9.17
sitka,37.17,84.0,56,0,7.0
sinjar,35.59,72.77,61,0,11.39
takab,36.4,62.15,27,0,4.21
guangyuan,32.43,65.75,94,0,1.68
nurota,40.56,91.4,13,0,9.17
hirara,24.8,84.29,80,98,23.38
souillac,45.6,82.18,28,0,9.17
puntarenas,9.98,82.4,51,40,16.11
niesky,51.29,61.5,88,33,1.99
marshall,39.12,86.02,58,40,5.01
nyurba,63.29,58.19,96,79,3.69
lebu,8.96,59.0,87,75,2.24
qaanaaq,77.48,46.49,60,39,9.73
kenora,49.76,71.4,49,20,3.36
garachine,8.06,81.05,76,100,3.06
buala,-8.15,79.61,79,99,9.4
sawakin,19.1,86.81,39,99,3.71
omboue,-1.57,72.77,91,26,14.38
tromso,69.65,56.23,62,0,10.29
kinston,35.26,92.66,59,40,4.7
marawi,8.0,73.99,96,100,5.01
jacupiranga,-24.7,76.37,44,51,3.53
singaraja,-8.11,76.55,66,26,8.3
tsarychanka,48.94,62.33,72,31,5.12
bilma,18.69,98.15,20,15,5.59
kuryk,43.18,78.71,56,0,18.01
sorland,67.67,49.01,85,51,24.2
amazar,53.86,56.75,95,96,2.44
beringovskiy,63.05,69.17,55,97,1.36
neiafu,-18.65,68.0,94,20,17.67
qaqortoq,60.72,64.4,42,40,5.82
carutapera,-1.2,82.67,71,91,10.16
zhigansk,66.77,55.49,63,81,9.06
belousovka,50.13,71.6,60,71,6.71
narsaq,60.91,64.4,42,40,5.82
alugan,12.22,73.67,95,100,3.44
eidfjord,60.47,65.03,50,11,6.2
saskylakh,71.97,49.37,73,88,6.26
riyadh,24.63,102.2,6,0,11.41
shu,43.6,80.87,22,0,9.19
kieta,-6.22,79.25,77,100,6.06
skibbereen,51.55,66.2,68,75,6.93
okhotsk,59.36,47.39,97,89,2.44
egvekinot,66.32,66.11,61,99,2.08
akureyri,65.68,55.4,87,75,4.7
torbay,47.66,58.55,72,90,9.17
baghdad,33.3,91.4,22,20,8.05
thompson,55.74,71.6,60,90,3.36
lanzhou,36.06,60.8,67,0,4.47
mount gambier,-37.83,48.2,87,90,10.29
poum,41.28,66.2,72,75,6.93
naze,5.43,75.11,91,91,5.28
faanui,-16.48,77.63,76,0,5.97
noumea,-22.28,62.6,93,75,5.91
clyde river,70.47,51.8,71,40,13.87
lewisporte,49.25,69.44,52,90,4.7
pangnirtung,66.15,48.2,93,75,4.7
harnosand,62.63,63.34,33,80,10.29
aksu,52.04,71.6,56,0,11.18
luanda,-8.83,73.4,83,3,8.05
kralendijk,12.15,82.4,83,75,16.11
hualmay,-11.1,62.15,83,85,13.42
fuzhou,26.08,82.4,78,75,8.95
iacu,-12.77,82.85,44,45,5.39
mweka,-4.85,74.75,67,60,2.98
fershampenuaz,53.52,68.63,70,85,4.34
cikupa,-7.49,66.83,96,51,1.88
pacific grove,36.62,64.31,82,90,4.7
namie,37.52,68.23,70,100,1.97
paulo ramos,-4.45,86.27,54,78,6.17
shakhtinsk,49.71,57.2,67,0,6.71
jining,35.41,78.17,61,3,7.23
arman,59.7,62.69,70,0,2.19
sioux lookout,50.1,71.33,46,75,8.05
berezovyy,51.67,57.65,98,100,2.77
carnarvon,-30.97,57.65,22,0,7.14
port macquarie,-31.43,47.08,49,0,9.17
shetpe,44.14,77.09,55,3,16.49
hailey,43.52,81.09,31,20,7.74
oleksandrivka,48.97,62.33,70,52,5.19
uspenka,48.39,64.49,71,56,6.62
portland,43.66,81.57,48,40,5.82
muisne,0.61,80.6,78,75,9.17
ewa beach,21.32,77.92,69,40,11.41
beloha,-25.17,62.33,69,0,9.62
dingle,11.0,73.49,88,100,2.66
tecoanapa,16.99,87.8,62,75,3.36
codrington,-28.95,47.75,49,20,5.82
hvide sande,56.01,57.74,82,100,11.41
hasaki,35.73,71.53,100,90,4.7
kahului,20.89,74.23,65,20,3.36
vila franca do campo,37.72,73.4,83,20,12.75
fort nelson,58.81,57.2,87,75,5.82
lubao,-5.39,83.03,40,93,6.24
constitucion,23.99,72.34,53,40,3.36
kutum,14.2,81.95,40,86,11.32
rio grande,-32.03,57.2,87,90,6.93
humaita,-24.93,63.39,63,40,8.05
imbituba,-28.24,78.8,54,0,9.17
cayenne,4.94,86.0,62,17,10.29
irbit,57.67,72.59,64,53,10.04
longyearbyen,78.22,41.0,93,75,13.87
roblin,51.23,72.59,66,0,9.17
kodiak,39.95,86.58,22,1,8.05
lavrentiya,65.58,59.81,62,2,7.52
ballina,54.11,63.34,63,20,8.05
cap-aux-meules,47.38,60.8,82,75,10.29
kungurtug,50.6,48.29,94,100,3.51
balsas,-7.53,89.15,38,33,10.96
odessa,31.85,85.41,40,1,5.82
hammerfest,70.66,48.2,70,40,17.22
caravelas,-17.73,75.29,70,7,10.29
aklavik,68.22,59.77,55,20,8.05
charcas,23.13,74.75,41,22,6.11
lisala,2.15,72.41,87,58,2.66
russell,38.9,84.96,45,1,11.41
takaka,-40.86,57.31,90,100,17.0
awjilah,29.14,90.05,17,0,7.81
kiunga,-6.12,67.73,98,100,2.04
soissons,49.38,74.5,49,75,13.87
kursumlija,43.14,65.55,68,40,4.7
montepuez,-13.13,68.81,41,0,3.83
namibe,-15.19,66.65,81,63,2.84
honiara,-9.43,73.4,100,20,5.32
rafai,4.95,70.79,78,81,1.52
pisco,-13.71,67.17,30,90,4.7
sal rei,16.18,80.83,74,40,20.8
narkanda,31.25,67.01,76,23,5.84
coahuayana,18.62,83.21,74,63,2.91
nikolskoye,59.7,56.68,62,40,6.71
manggar,-2.88,73.13,94,0,2.44
zabol,31.03,98.6,18,0,20.8
havre-saint-pierre,50.23,59.0,93,90,6.93
cockburn town,21.46,89.6,66,40,13.87
umea,63.83,58.89,48,0,5.82
mehamn,71.03,43.61,79,100,7.45
havelock,34.88,90.55,74,1,10.29
valparaiso,41.47,87.71,43,1,14.99
limoeiro do ajuru,-1.9,84.47,72,61,4.56
pawa,30.85,83.57,70,68,5.66
mabaruma,8.2,82.13,87,84,3.89
porto velho,-8.75,89.6,79,40,3.36
charlestown,41.38,81.86,61,1,10.29
neryungri,56.66,55.85,99,70,3.89
swiebodzice,50.86,62.53,93,20,8.05
coihaique,-45.58,43.61,81,75,5.82
karratha,-20.74,67.55,22,0,17.58
provideniya,64.42,58.19,67,18,5.1
sarankhola,22.31,81.59,87,96,9.98
mecca,21.43,89.15,21,0,6.46
bell ville,-32.63,61.97,50,32,3.8
solnechnyy,50.72,57.11,98,75,2.46
nyimba,-14.56,64.67,45,0,4.81
sabha,27.03,99.59,9,0,6.42
lagunas,-5.23,90.41,46,7,3.91
shenzhen,22.54,84.61,74,40,10.29
broken hill,-31.97,39.2,80,0,5.82
igarka,67.47,50.09,80,100,10.69
karakol,42.49,61.79,71,100,8.99
sturgis,51.94,74.75,60,3,10.27
puerto leguizamo,-0.19,78.53,90,54,1.48
talcahuano,-36.72,57.2,71,20,5.82
dubno,50.42,60.01,80,100,10.0
cabo san lucas,22.89,85.95,69,5,8.05
berlevag,70.86,44.33,82,100,5.82
coquimbo,-29.95,64.6,62,0,10.29
zarubino,42.65,58.19,97,94,1.68
nuuk,64.17,46.4,93,90,5.82
launceston,-41.43,41.85,80,90,13.87
azare,11.67,87.17,46,48,3.91
nabire,-3.36,66.47,96,100,4.27
nome,30.04,84.13,83,90,11.41
laguna,16.17,87.8,70,40,6.93
byron bay,-28.65,50.52,50,17,11.41
jablah,35.36,78.8,61,40,9.17
mogadishu,2.04,77.27,83,57,14.92
lompoc,34.64,64.04,77,20,6.93
pangai,-19.8,72.95,80,35,26.91
cabanas,-8.41,79.25,55,59,13.6
virginia beach,36.85,87.78,51,20,8.05
bibiani,6.45,73.13,97,97,3.2
nioro,13.79,96.89,34,84,4.5
bambous virieux,-20.34,69.49,56,75,8.05
padrauna,26.9,78.8,100,75,3.36
port hardy,50.7,62.6,82,75,4.7
gravelbourg,49.88,81.23,44,62,7.74
tuatapere,-46.13,46.0,97,100,1.01
yar-sale,66.83,58.37,52,96,11.39
abeche,13.83,93.11,31,15,5.12
bonito,-1.36,80.33,89,59,7.9
vanimo,-2.67,79.61,81,26,8.59
lewiston,44.1,81.37,51,20,6.93
inuvik,68.36,59.99,54,75,8.59
hun,50.34,67.19,60,20,6.93
purpe,64.48,51.01,80,70,7.27
adrar,27.87,114.8,4,0,11.41
eydhafushi,5.1,83.93,72,74,5.39
barcelona,41.38,81.99,69,20,5.82
qianjiang,30.43,69.71,92,0,5.12
airai,-8.93,67.55,84,54,4.88
mamlyutka,54.94,65.21,84,0,7.99
lagoa,37.14,73.6,78,0,14.99
nacogdoches,31.6,83.28,74,90,11.41
charlottesville,38.03,86.29,48,40,4.7
dolores,-33.53,57.83,72,0,7.85
marsa matruh,31.35,80.6,69,0,11.41
grindavik,63.84,56.12,93,75,12.75
san cristobal,14.68,84.83,41,100,8.95
terrace bay,48.78,69.8,52,75,8.05
vite,42.89,69.49,77,40,10.29
guerrero negro,27.97,67.01,87,0,8.28
teknaf,20.86,83.57,83,100,15.99
epe,52.18,68.27,56,40,10.29
novotroitsk,51.2,89.6,18,0,13.42
ust-maya,60.42,59.45,92,79,3.11
kampene,-3.59,70.97,84,7,2.46
gotsu,35.01,71.15,90,100,0.85
alice springs,-23.7,42.8,70,0,5.82
aquin,18.28,93.0,50,23,5.5
tagusao,9.19,79.61,77,98,5.14
carmichael,55.63,67.69,56,40,12.75
senanga,-16.1,61.25,18,0,3.83
hovd,63.83,56.07,62,40,17.22
klaksvik,62.23,53.6,93,85,10.29
waingapu,-9.65,67.01,92,46,10.78
petropavlovsk-kamchatskiy,53.05,46.4,100,40,4.47
pilikwe,-22.8,58.55,41,0,8.52
moctezuma,29.81,85.37,38,18,2.46
lake havasu city,34.47,103.26,13,1,17.22
koboko,3.41,64.31,94,94,3.06
sao gabriel da cachoeira,-0.13,75.2,94,90,4.7
opuwo,-18.06,59.63,43,0,3.04
dharchula,29.85,55.49,95,100,0.78
iralaya,15.0,86.0,74,40,6.93
dera bugti,29.03,91.67,35,0,1.25
lamu,35.77,52.43,64,51,1.92
gebre guracha,9.8,63.41,90,100,1.01
baruun-urt,46.68,64.49,53,0,4.7
san,13.3,95.27,35,59,6.69
talnakh,69.49,50.0,100,75,4.47
porosozero,62.72,45.95,88,92,7.7
shimoda,34.7,67.98,94,75,5.82
taunggyi,20.78,68.99,89,100,6.98
zola predosa,44.49,78.15,51,20,9.17
kuala terengganu,5.33,77.0,94,75,3.36
olinda,-37.84,42.98,81,90,10.29
sinnamary,5.38,79.79,81,4,13.13
ponta do sol,-20.63,77.27,38,0,6.76
tigil,57.8,52.07,78,0,4.12
oktyabrskoye,56.73,68.34,68,0,2.24
darhan,49.49,61.79,78,100,7.43
seoul,37.57,70.41,94,1,1.12
san rafael,-34.61,56.39,31,0,1.79
el alto,-16.5,59.0,11,0,4.7
kyren,51.68,49.73,95,100,4.21
estrela,-29.5,66.29,92,40,4.18
tonantins,-2.86,85.55,66,28,4.7
abnub,27.27,100.4,25,0,10.29
yarim,14.3,74.75,62,51,5.39
ifanadiana,-21.3,57.65,95,26,0.54
vista hermosa,14.92,89.6,55,20,6.02
bonnyville,54.27,71.6,64,40,11.41
cabedelo,-6.97,84.2,66,75,11.41
semporna,4.48,75.2,100,75,2.08
nemuro,43.32,54.59,96,100,12.93
skjervoy,70.03,46.67,80,24,6.26
dombarovskiy,50.76,84.65,25,27,19.37
leh,34.16,43.61,59,66,7.49
mankono,8.06,75.83,90,100,6.82
kununurra,-15.77,69.8,21,6,9.17
los barrios,36.19,81.23,51,0,12.75
padang,-0.92,82.67,78,5,10.65
gamba,28.28,43.43,70,100,3.74
novo aripuana,-5.12,91.85,47,44,4.07
haines junction,60.75,52.97,67,99,3.65
atherton,-17.27,58.78,82,21,6.93
vostok,46.45,55.13,87,79,4.5
barentu,15.11,78.89,63,100,3.58
kawalu,-7.38,62.87,93,27,4.09
xuddur,4.12,78.89,62,30,18.92
tomatlan,19.93,86.27,65,63,10.67
las varas,21.18,86.9,54,40,6.11
kumluca,36.37,63.77,64,9,1.21
saint-francois,46.42,77.7,32,0,8.05
nizhniy baskunchak,48.22,70.79,56,38,5.84
harper,30.3,85.41,48,40,8.05
bestobe,52.5,69.53,58,0,11.32
ambilobe,-13.19,71.69,72,75,10.89
zhanaozen,43.35,79.79,55,21,18.99
champerico,16.38,82.4,65,75,2.24
nekhayevskiy,50.41,64.99,71,100,1.01
charters towers,-20.07,55.85,68,71,12.08
englewood,39.65,84.67,26,20,5.82
eyl,7.98,78.89,66,64,25.88
banda aceh,5.56,83.57,77,47,9.13
gadsden,34.01,85.98,66,1,8.05
puri,-7.54,68.81,79,0,9.89
galveston,40.58,85.48,48,1,12.75
ulladulla,-35.36,41.86,76,0,10.29
kilindoni,-7.91,78.71,78,0,20.78
erenhot,43.65,79.25,29,97,9.01
olovyannaya,50.94,59.63,86,54,4.07
avera,33.19,89.37,59,75,11.41
yumen,40.29,69.35,38,1,11.56
simao,22.76,66.83,99,100,1.21
wawa,9.9,78.89,79,49,2.8
samarai,-10.62,73.85,94,100,7.65
robstown,27.79,93.58,39,40,6.93
port moresby,-9.47,73.67,93,100,2.13
nouakchott,18.08,84.2,66,0,14.99
emiliano zapata,20.23,96.53,37,100,8.52
zhigalovo,54.81,54.59,73,100,1.97
hobyo,5.35,79.07,72,18,28.95
la ronge,55.1,64.4,82,90,8.05
blackwater,51.33,71.4,53,67,5.82
limbang,4.75,77.0,88,75,2.24
bandarbeyla,9.49,79.43,66,50,27.94
